Rank,Word,Frequency,English Gloss,Proposed Tone,Verified Tone,Genesis Context
307,otete,10,small,ótete,ótete,"Ọ rẹ otete de ji vwiẹ ọ́mọsháre, o de se odẹ rọye Ben-ammi, kọye ọsẹ rẹ ihwo rẹ Ammọn rhi te nonẹ na."
308,orhare,10,well / A   Well,orhare,orhare,"Etiyin Ọghẹnẹ de rhie ẹro rọye, ọ da mrẹ orhare rẹ ame, ọ da yanran, re vo ame vọn ophiẹn rọye, ọ da vwọ kẹ ọmọ na da."
309,duvwu,10,pound,duvwu,duvwu,Etiyin odibo na de phi obọ phihọ ekpoghowọ rẹ Ebraham rẹ onini rọye o de duvwu iyori fiki rẹ ota nana.
310,ena,10,,,,"Sera tọnre ọ da dia akpọ ikpe ujosa gbẹ ighwrẹ, ena kọye ikpe ri Sera."
311,ọka,10,"corn, maize / Corn",ọ́ka,ọ́ka,"Ọghẹnẹ kẹ wẹ evwru rẹ obo odjuvwu, kugbe ivwri rẹ otọ na, vẹ ọka buebu kugbe udi."
312,manasse,10,,,,"Josẹf de se odẹ rẹ ọwanra rọye na Manasse, Kidie, ọ tare nẹ, Ọghẹnẹ nẹrhẹ ojá mẹ ejobi kugbe uwevwi mẹ chọ ovwẹ ẹro."
313,hirhe,9,Detour  ;  Return,Hirhe,Hirhe,"Ẹkẹvuọvo aye ri Lọt rọ ka obuko de ni obuko, o de hirhe phihọ ẹrhẹnre rẹ ughweraka."
314,obenu,9,,,,"kugbe oka rẹ ephra ri obenu na ighwrẹ́ ivivẹ rhe, ọshare vẹ aye, rere ayen vwo jẹ ghwọrọ kakare nẹ enu rẹ akpọ na."
315,sẹ,9,Efficacy  of  medication  or  treatment,Sẹ,Sẹ,"Fiki rẹ ọtiọye na ọsháre vwọ yan jẹn ọ́sẹ rọye vẹ oní rọye vwó kọ rhe gbanọ ayé rọye, ayen ke dia omá ọ́vo."
316,ria,9,,,,"Je reyọ obo rẹ unu ria demu doka rọye, ghwẹ ayen koko wọ nabọ sẹro rayen; kọ dia emú kẹ wẹ́ vẹ ayen."
317,oka,9,type/kind,oka,oka,"kugbe oka rẹ ephra ri obenu na ighwrẹ́ ivivẹ rhe, ọshare vẹ aye, rere ayen vwo jẹ ghwọrọ kakare nẹ enu rẹ akpọ na."
318,ogbugbu,9,,,,"Nighere, Mi re mudia asan ogbugbu rẹ ame na re, rẹ emetẹ rẹ ihwo rẹ orere na de che vo ame."
319,fan,9,transport,fán,fán,"ẹkẹvuọvo o de churu onotu rọ kakemu na si, kirobo ri Josẹf fan otọ rẹ evwerhẹ na kẹ ayen."
320,irere,9,,,,"Ebram da dia otọ ri Kenan, yi Lọt ra dia uherevie rẹ irere rẹ ushekpotọ na, o de mu erhọ kẹrẹ Sodọm."
321,enẹ,9,,,,Enẹ kọye emetẹ ri Lọt ivẹ na wan oma rẹ ọsẹ rayen mrevun.
322,ohwohwo,9,each other,ohwóhwó,ohwóhwó,"Lọt ke jẹ ushekpotọ ri Jọdan na kẹ oma rọye, Lọt de nene obọrhe, kọye ayen da hẹriẹ oma nẹ ohwohwo"
323,ivie,9,,,,"Mi ru we vwọ dia ọgbọmiọvwọ, ẹgborho ride ki nẹ agada wẹn rhe, ivie ki nẹ oma wẹn rhe."
324,jokpa,9,Except ; Unless,Jokpa,Jokpa,"ko wẹ re cha dia enu rẹ uwevwi mẹ, ihwo mẹ ke vwẹ oma kpotọ kẹ wẹ sun, jokpa rẹ obo ekete mẹ Me da rho nọ wẹ."
325,esẹ,9,Scale    (e.g.  fish  scale ),Ésẹ́,Ésẹ́,"Vwọ kẹ oma wẹn, ku wo rhivwi bru esẹ wẹn ra egberhẹnẹdẹ, ke shi we vẹ uyovwi esha hẹrẹhẹrẹ."
326,ẹjo,9,no / No !  ;  Not  at  all,ẹjo,ẹjo,Ọshare na da fọ ko di nó rọ vwọ riẹn se Ọghẹnẹ phi erhuvwu phihọ oyan rọye na eyẹ ẹjo.
327,bẹẹrsheba,9,,,,"Ebraham da kọn oghriki phihọ Bẹẹrsheba, o de se odẹ rẹ Ọrovwohwo vwẹ Etiyin, Ọghẹnẹ ri bẹvwẹdẹ na."
328,tọn,9,,,,"O da ta, Igodẹ rẹ eya nana ighwrẹ na gba reyọ ayen mie vwe, rere e dia iseri nẹ mẹ́vwẹ ri ghine tọn orhare na."
329,fiọnfiọn,9,,,,"Etiyin ọsẹ rọye Aizik da ta kẹ, Gbe si kẹrẹ ovwẹ re wọ fiọnfiọn ovwẹ, ọmọ mẹ."
330,osa,9,debt / Debt,osa,osa,"Etiyin Laban da ta ki Jekọp, fikiridie wọ vwọ omoni mẹ na, ku wọ de ga vwẹ ọphọphẹ? Ta kẹ vwẹ, bro osa Me hwa kẹ wẹ?"
331,vwerhe,9,Sweet,Vwerhe,Vwerhe,Jekọp ke rha mrẹ vughe nẹ ivun rọye gbe rha vwerhe Laban kiri ọke rẹ ẹsosuọ-ọ.
332,simiọn,9,,,,"Emọ ri Leah Rubẹn (owanra ri Jekọp), Simiọn, Livae, Juda, Isaka, kugbe Zẹbulọn."
333,hamọr,9,,,,"Vwẹ obọ rẹ emọ ri Hamọr, ọsẹ ri Shikẹm, ọ da dẹ otọ na ebó rẹ igho ujori kẹ Etiyin ọ bọn utughẹ rọye phihọ."
334,anah,9,,,,"Enana emọ rẹ Oholibamah ọmọtẹ rẹ Anah rẹ ọmọ ri Zibeọn, aye rẹ Isọ: o de vwiẹ Jeush, Jalam kugbe Korah kẹ Isọ."
335,omuidi,9,,,,"Ọmọke vwọ wanre, omuidi rẹ ovie rẹ Ijipt kugbe okakemu rọye da chọ urhi rẹ ọrovwayen ovie rẹ Ijipt na."
336,ifrem,9,,,,"Odẹ rẹ ọrivẹ o de se Ifrem, Kidie Ọghẹnẹ ru vwe phihọ ọmiọvwọ vwẹ otọ rẹ ukpokpogho mẹ."
337,di,8,block,di,di,ẹkẹvuọvo evwru kọye di muẹ nẹ otọ na kpenu ọ Me rhe kpọrhọ otọ na ejobi -
338,uvwo,8,,,,"Etiyin ọsháre na da ta, Ọnana ubeku mẹ́ kugbe uvwo rẹ uvwo mẹ, ke se nẹ Ayé, fikiridie omá rẹ ọshare esiro nurhe."
339,otafe,8,outside,ótáfe,ótáfe,"Gba vwẹ urhé ri gofa kare ókọ̀, kare ivun phihọ okọ na, wọ nabọ pharọ te obevun te otafe vẹ orhọrhe."
340,oghwe,8,,,,Noa da dia ikpe urí ẹ́rha ọghwo te vwẹ ọke rẹ oghwe na vwo ku akpọ na.
341,emeranvwe,8,,,,
342,ride,8,,,,"Amé na de rhi bu gangan o de rhi reghe igbenu ride ejobi ri otọ rẹ akpọ na,"
343,emuọre,8,,,,"emu kemu ejobi rọ yan ro vwo arhọ kọ dia emuọre kẹ wẹ́, kirobo Me vwẹ ifọn kẹ wẹ na, Me je kẹ wẹ emu ejobi."
344,udi,8,Liquor,Udi,Udi,"ọ da da udi ri vain na, udi de muo, o de shevwerhẹ otọ rẹ utughẹ rọye vẹ ẹbẹba."
345,iniọvo,8,,,,"Ham, rẹ ọ́sẹ ri Kenan, da mrẹ ẹba rẹ ọsẹ rọye, o de rhi gbe ikun kẹ iniọvo rọye vwẹ otafe."
346,orho,8,town / Town ; City,orho,orho,"ẹkẹvuọvo ku wo kpo orho mẹ kpo uvwiẹ mẹ, kẹ Etiyin wọ da reyọ aye kẹ ọmọ mẹ Aizik."
347,nẹrhẹ,8,pacify,nẹrhẹ,nẹrhẹ,"Die wọ vwọ tanẹ oníọvo mẹ? rọ da nẹrhẹ ovwẹ reyọ vwo ru aye? Nighe aye wẹn na, reyọ ru wọ yanran."
348,obọhwẹre,8,,,,
349,mamre,8,,,,"Ebram da ghwiẹ utughẹ rọye, ọ da rhe dia kẹrẹ ọhahe ri Mamre, rọ kẹrẹ Hebrọn, kẹ Etiyin ọ da so agbada kẹ Ọrovwohwo."
350,ẹvo,8,,,,"igodẹ na de vwiẹ vwẹ obaro rẹ oghọ rẹ urhé ro keri ipe na, ẹvo de vwiẹ iri vẹ ipe efuanfon, ẹvo vẹ irhiẹ efa ibiebi."
351,emuọvo,8,,,,"Jekọp de se odẹ rẹ asan na Peniel, nẹ, Fikiridie Me mrẹ Ọghẹnẹ opharo ye emuọvo ru vwee."
352,uvwe,8,,,,"Me da ta kẹ onini mẹ, Kẹ ọke rẹ aye na gbi nene uvwe-e, komavọ?"
353,efa,8,others,éfà,éfà,"Ru ẹdẹ rẹ ọna gba, avwanre kẹ vwẹ ọrivẹ na kẹ wẹ wọ da ga vwẹ ikpe ighwrẹ efa."
354,rhọvwe,8,agree/accept,rhọvwe,rhọvwe,"Ebraham da ta kẹ Ọghẹnẹ, E mane ke wan rhọvwe nẹ Ishmael dia obaro wẹn vwonẹ;"
355,chere,8,cook / Cook,chere,chere,"Ẹdẹ ọvo ri Jekọp vwo chere ukodo, Isọ de nẹ ibefi rhe, owẹvwe ko hwe gangan."
356,kohwo,8,,,,"Etiyin Sera da ta, Ọghẹnẹ ma ehwẹ kẹ vwẹ; kohwo kohwo ro nyori ejobi kọ cha hwẹ vwẹ."
357,oviẹ,8,cry,óviẹ́,óviẹ́,"Ọghẹnẹ ke rhe karohọ Rachel, Ọghẹnẹ de nyo oviẹ rọye o de rhie urhoro rọye."
358,urhuru,8,selfishness,urhuru,urhuru,"vwẹ oma rẹ uvwiẹ wẹn ọye ẹgborho rẹ akpọ na ejobi wan vwo ebruphihọ kẹ oma rẹ ayen, fikiridie wo mu ọghọ kẹ urhuru mẹ."
359,ekẹtẹkẹtẹ,8,,,,"Kẹnẹ Jekọp ru fe gangan, o de vwo uchuru, kugbe idibo rẹ emetẹ vẹ ere eshare kugbe iyesi vẹ ekẹtẹkẹtẹ."
360,bẹtuẹl,8,,,,"Kesed, Hazo, Pildash, Jidlaf, kugbe Bẹtuẹl."
361,padanaram,8,,,,Jekọp de nyo ota rẹ ọsẹ rọye kugbe oni rọye ọ da yanran kpo Padanaram.
362,etọ,8,,,,
363,eta,8,ward,ètá,ètá,Eta rayen da nabọ je Hamọr vẹ ọmọ rọye Shikẹm.
364,vọye,8,,,,"re wọ vọye dia oboyi emerha, bẹsiẹ rẹ ophun rẹ oniọvo wẹn vwo fue;"
365,bilhah,8,,,,(Laban da vwẹ ayeobọ rọye Bilhah vwọ kẹ Rachel rẹ ọmọtẹ rọye).
366,rubẹn,8,,,,"Emọ ri Leah Rubẹn (owanra ri Jekọp), Simiọn, Livae, Juda, Isaka, kugbe Zẹbulọn."
367,bẹnjamin,8,,,,"Ro vwo sherua re (kidie o ghwuru), o de se odẹ rọye Ben-oni; ẹkẹvuọvo ọsẹ rọye de se Bẹnjamin."
368,kẹnẹ,7,,,,Kẹnẹ a ma odjúvwu vẹ akpọ́ kugbe obo re vọnrọ ejobi wan.
369,udju,7,farm / Farm,údjú,údjú,"Urhie da va phia vwẹ Idẹn rere ọrhuọrhuọ udju na, Etiyin ọ da jẹn eghọn ẹ́ne."
370,yoyovwi,7,"fine, well",yoyovwi,yoyovwi,oro rẹ otọ na pha yoyovwi; bideliọm vẹ oragha rẹ oniks; je otọ na rhe.
371,bẹdẹ,7,never,bẹdẹ,bẹdẹ,kidie otọ na ejobi re wọ mrẹ na Me vwẹ ayen kẹ wẹ kugbe uvwiẹ wẹn bẹdẹ.
372,oruẹ,7,,,,"Enana ke ye orua ri Noa. Noa kẹ ọvwata oruẹ, o vwo eka vwẹ orua rọye na-a; Noa da yan kpahọ Ọghẹnẹ."
373,ọvwata,7,,,,"Enana ke ye orua ri Noa. Noa kẹ ọvwata oruẹ, o vwo eka vwẹ orua rọye na-a; Noa da yan kpahọ Ọghẹnẹ."
374,kpahọ,7,,,,"Enana ke ye orua ri Noa. Noa kẹ ọvwata oruẹ, o vwo eka vwẹ orua rọye na-a; Noa da yan kpahọ Ọghẹnẹ."
375,shẹm,7,,,,"Noa de vwó emeshare ẹ́rha, Shẹm, Ham kugbe Jafet."
376,nabọ,7,,,,"Gba vwẹ urhé ri gofa kare ókọ̀, kare ivun phihọ okọ na, wọ nabọ pharọ te obevun te otafe vẹ orhọrhe."
377,ivivẹ,7,,,,"kugbe oka rẹ ephra ri obenu na ighwrẹ́ ivivẹ rhe, ọshare vẹ aye, rere ayen vwo jẹ ghwọrọ kakare nẹ enu rẹ akpọ na."
378,kpono,7,drag,kpono,kpono,"Eránvwe ri tete omá, kugbe iri gbe oma, te ephra, te obo ri kpono vwẹ otọ na,"
379,ughwu,7,death,ughwu,ughwu,"Te Noa vẹ emọ rọye vẹ aye rọye te eya rẹ emọ rọye vẹ ọ́ye da ro evun rẹ okọ na, rẹ ayen vwo nẹ ughwu rẹ amé na."
380,kpọ,7,dry,kpọ,kpọ,"ame na de si reyọ kọke kọke. Vwẹ oba rẹ ẹdẹ ujori gbẹ ujuvẹ gbẹ ihwé re, ame na da rhe kpọ;"
381,izobo,7,offering,izóbo,izóbo,"Jekọp de ze izobo vwẹ enu rẹ ugbenu na o de se ihwo rọye nẹ iri re emu, ayen da re ayen da vwerhẹ enu rẹ ugbenu na."
382,orhọ,7,ear,órhọ́,órhọ́,Ebraham da reyọ upene rẹ igodẹ rẹ eya ighwrẹ vwẹ ohri rẹ uchuru rọye na phihọ orhọ.
383,soso,7,,,,Enana ẹ́rha na keye emọ ri Noa; enana erha na keye ri vwiẹ akpọ na soso.
384,ikun,7,story,íkun,íkun,"Ham, rẹ ọ́sẹ ri Kenan, da mrẹ ẹba rẹ ọsẹ rọye, o de rhi gbe ikun kẹ iniọvo rọye vwẹ otafe."
385,jọ,7,,,,"Ọghẹnẹ hẹre ishamwa ri Jafẹt, e jọ dia itughẹ ri Shẹm, e je Kenan dia ọviẹn rọye."
386,ọnre,7,,,,"Ọke rẹ ihwo vwọ kua nẹ abọ rẹ ọnre da vacha re, ayen da rhe mrẹ uphephe ọvo vwẹ otọ ri Shinar ayen da dia Etiyin."
387,terah,7,,,,"Ọke ri Nahọr vwọ dia ikpe uje gbẹ irhiri re, ọ da rhe dia ọsẹ ri Terah;"
388,serai,7,,,,"Serai kẹ ẹga, o vwiẹ ọ́mọ-ọ."
389,eriyin,7,,,,"Ki mi ru we vwọ dia ẹgborho buebu, ki mi bruphihọ kẹ wẹ, ki mi ru odẹ wẹn rho, eriyin na ku wọ dia ebruphihọ."
390,fi,7,leak,fi,fi,Vwẹ ọke nana owẹvwe de rhi fi vwẹ otọ na. Etiyin Ebram de kpo Ijipt ra dia fikiridie owẹvwe na firi gangan vwẹ otọ na.
391,idọnọ,7,word used in reference to money mostly in the o...,idọ́nọ,idọ́nọ,"Asakiephana Ebram feri gangan vwẹ uchuru, idọnọ efuanfon kugbe oro."
392,efuanfon,7,,,,"Asakiephana Ebram feri gangan vwẹ uchuru, idọnọ efuanfon kugbe oro."
393,ushekpotọ,7,,,,"Lọt ke jẹ ushekpotọ ri Jọdan na kẹ oma rọye, Lọt de nene obọrhe, kọye ayen da hẹriẹ oma nẹ ohwohwo"
394,ofovwi,7,war,ofovwi,ofovwi,Abimẹlẹk da yan ni Gẹra bro ra ọ vẹ Ahuzath re ọbuiroro rọye kugbe Fikol rẹ onotu rẹ ofovwi rọye.
395,aghwa,7,bush,ághwá,ághwá,"Ọghẹnẹ vẹ ọmọ na da herọ, ọ da rhe rho, ọ dia evun rẹ aghwa, o de rhi hirhe ọsedada."
396,komavọ,7,,,,"Ẹkẹvuọvo ọ da ta, E Ọrovwohwo Ọghẹnẹ, komavọ mi ru riẹn nẹ mi che vwo otọ na?"
397,egbo,7,ram,egbo,egbo,"Ọ da ta kẹ, Reyọ upene rẹ erhuẹn rẹ ikperha, ẹvwe aye rẹ ikperha, egbo rẹ ikperha, inekuku, kugbe eme erurẹ."
398,ghwe,7,,,,"Kpata kpata na o de ghwe rhurie ame na phihọ odo, ọ da ghwá djẹ yanran re vo vwọ kẹ iyesi na."
399,ovwerhẹ,7,sleep,ovwerhẹ,ovwerhẹ,"Rẹ ọnre vwo kpotọ re, ovwerhẹ rode de mu Ebram, o vwo ni, oshọ rode vẹ egho de rhi rhuro."
400,esha,7,grey hair / Grey  hair,esha,esha,"Vwọ kẹ oma wẹn, ku wo rhivwi bru esẹ wẹn ra egberhẹnẹdẹ, ke shi we vẹ uyovwi esha hẹrẹhẹrẹ."
401,yanvwe,7,,,,"Ku wọ yanvwe ohọrọ rẹ ẹsosuọ rẹ oma wẹn, kọ cha dia oka rẹ ọphọ rọ uvwre mẹ vẹ owẹ."
402,guọnọ,7,"find, look for",guọnọ,guọnọ,"Ayen da vwẹ egho rhurhu ihwo ri bi koko anurhoro na ẹro, te emọ te ekpako, ki ruẹ rhurhu vwẹ abọ guọnọ anurhoro."
403,gẹra,7,,,,"Ebraham da ta kẹ Sera rẹ aye rọye, Wẹ oniọvo mẹ, Abimẹlẹk ovie ri Gẹra de ji ukọ ra reyọ Sera."
404,okpuyovwi,7,,,,"Ku wọ ta kẹ nẹ, Erẹ odibo wẹn Jekọp, ena ọko ra phare rhe ọrovwovwe Isọ, okpuyovwi rọye je cha vwẹ obuko."
405,irhuẹn,7,,,,Irhuẹn re dọndọn grosi na de mu iride tubie tubie na rọ. Fero de gbunie rhọvwọ.
406,odjuvwu,7,heaven / Heaven,odjúvwú,odjúvwú,"Ẹkẹvuọvo amakashe rẹ Ọrovwohwo de se nẹ obo odjuvwu rhe, ọ da ta, Ebraham! Ebraham! O de nyo nẹ, Mẹvwẹ na."
407,filistia,7,,,,Ebraham da dia otọ ri Filistia na krekri.
408,ọmọkpako,7,first born,ọ́mọkpáko,ọ́mọkpáko,"Uz rẹ ọmọkpako, Buz rẹ oniọvo rọye, Kemuẹl ọsẹ rẹ Aram,"
409,diguẹ,7,Greet  with  knees  down  or  bent .,Diguẹ,Diguẹ,"Ebraham de vrẹn o de diguẹ kẹ ihwo ri Hẹt na, re dia ihwo rẹ otọ na."
410,kerhọ,7,listen / Listen,kerhọ,kerhọ,"Ọ da ta kẹ ayen, Ovwan da rhọvwe nẹ mi shi orivwi mẹ na nẹ obaro mẹ, wa gba kerhọ, re ovwan rẹ Efrọn rẹ ọmọ ri Zohar,"
411,efrọn,7,,,,"Ọ da ta kẹ ayen, Ovwan da rhọvwe nẹ mi shi orivwi mẹ na nẹ obaro mẹ, wa gba kerhọ, re ovwan rẹ Efrọn rẹ ọmọ ri Zohar,"
412,ẹmwa,7,,,,"Te otọ na kugbe ẹmwa rọ herọ ke siobọ no kẹ Ebraham rọ dia ẹkẹn rẹ ogbẹ, re ihwo ri Hẹt vwọ kẹ."
413,irharo,7,presence,irháro,irháro,"kẹ Ebraham rọ dia ẹkẹn rọye vwẹ irharo rẹ ihwo ri Hẹt na, kugbe ihwo rẹ orere na re rhe ughere na ejobi."
414,no,7,Look  at  it,Nó,Nó,"Te otọ na kugbe ẹmwa rọ herọ ke siobọ no kẹ Ebraham rọ dia ẹkẹn rẹ ogbẹ, re ihwo ri Hẹt vwọ kẹ."
415,ochẹ,7,water pot / Clay   drinking   water  storage   pot,ochẹ,ochẹ,"Eriyin odibo na da djẹ bro, ọ da ta, Biko kẹ vwẹ ama ame rẹ ochẹ wẹn na da."
416,ruru,7,,,,Odibo na da ta kẹ Aizik emu ejobi ro ruru.
417,sho,7,,,,"Etiyin Rachel de ghwu, e de sho vwẹ idjerhe rẹ Efrat (kọye Bẹtlẹhẹm),"
418,shẹ,7,sell / Sell,shẹ,shẹ,"Jekọp da ta, Gba shẹ ọkpako wẹn kẹ vwẹ tavwe."
419,ghwọ,7,be angry,ghwọ,ghwọ,Ayen da tọn ọfa ayen da je ghwọ gbe; Etiyin o de se odẹ Sitnah.
420,osusu,7,,,,"Jekọp da ta ke ihwo rọye, Wa ghwẹ ibieragha, ayen da ghwẹ ibieragha na, ayen da ma ayen osusu na."
421,oholibamah,7,,,,"Oholibamah de vwiẹ Jeush, Jalam, kugbe Korah. Enana keye emọ rẹ Isọ ro vwiẹri vwẹ otọ ri Kenan."
422,elifaz,7,,,,"Adah de vwiẹ kẹ Isọ, Elifaz; Basʼemath de vwiẹ Roẹl;"
423,uwodi,7,prison,uwódi,uwódi,"Onini ri Josẹf ghwa reyọ o de re muo phihọ uwodi, asan ra da karọ ekru rẹ ovie, kẹ Etiyin a kaerọ phihọ."
424,ororo,7,,,,"Ikpe ighwrẹ rẹ ororo cha rhe vwẹ otọ rẹ Ijipt na ejobi,"
425,ekpẹn,6,,,,"Ọ da nọ ekpẹn rẹ oma rayen, ọ da nọ, Oma rẹ ọsẹ wẹn dori, ọmare rẹ ovwan ta kẹ vwẹ na? Ọ jẹn akpọ?"
426,rivẹ,6,second,rívẹ́,rívẹ́,"Odẹ rẹ urhie rivẹ ki Gihọn, urhie nana re djẹ wan ubrotọ ri Kush."
427,urhi,6,law / Law,úrhi,úrhi,"Ọrovwohwo Ọghẹnẹ de ji urhi kẹ ohwo na, nẹ, Wọ sa re omamọ komamọ rẹ udju na obo ri jẹn we;"
428,nurhe,6,,,,"Etiyin ọsháre na da ta, Ọnana ubeku mẹ́ kugbe uvwo rẹ uvwo mẹ, ke se nẹ Ayé, fikiridie omá rẹ ọshare esiro nurhe."
429,gbanọ,6,,,,"Fiki rẹ ọtiọye na ọsháre vwọ yan jẹn ọ́sẹ rọye vẹ oní rọye vwó kọ rhe gbanọ ayé rọye, ayen ke dia omá ọ́vo."
430,yi,6,,,,"Ebram da dia otọ ri Kenan, yi Lọt ra dia uherevie rẹ irere rẹ ushekpotọ na, o de mu erhọ kẹrẹ Sodọm."
431,vọn,6,,,,"Akpọ́ na de rhi gbeku vwẹ obaro rẹ Ọghẹnẹ, akpọ na ke je vọn vẹ ozighi."
432,dohwo,6,,,,"Dishon, Ezer, kugbe Dishan, ena keye ilori rẹ emọ ri Họr, dohwo dẹgborho rọye vwẹ otọ ri Seir."
433,doka,6,,,,"Je reyọ obo rẹ unu ria demu doka rọye, ghwẹ ayen koko wọ nabọ sẹro rayen; kọ dia emú kẹ wẹ́ vẹ ayen."
434,karohọ,6,Remember  ;  Do  not  forget / remember,karohọ,karohọ,"Ọghẹnẹ ke rhe karohọ Rachel, Ọghẹnẹ de nyo oviẹ rọye o de rhie urhoro rọye."
435,ze,6,"offer, sacrifice / Sacrifice   (  for  a  god  )",ze,ze,"Jekọp de ze izobo vwẹ enu rẹ ugbenu na o de se ihwo rọye nẹ iri re emu, ayen da re ayen da vwerhẹ enu rẹ ugbenu na."
436,ọbara,6,blood / Blood,ọbara,ọbara,"Ẹkẹvuọvo wọ ria uvwo vẹ arhọ rọye-e, kọye ọbara rọye."
437,bọn,6,,,,"Kọye Ọrovwohwo da hra ayen nene enu rẹ akpọ na ejobi, ayen gbe bọn orere na ọfa-a."
438,ghwo,6,Old  ;  Ripe,Ghwo,Ghwo,Ebraham da dia ikpe ọvo nuro ujori ọ ghwo te vwẹ ọke rọ vwọ yanvwe.
439,uje,6,twenty / Twenty,uje,uje,"Ọke ri Nahọr vwọ dia ikpe uje gbẹ irhiri re, ọ da rhe dia ọsẹ ri Terah;"
440,ebruphihọ,6,,,,"Ki mi ru we vwọ dia ẹgborho buebu, ki mi bruphihọ kẹ wẹ, ki mi ru odẹ wẹn rho, eriyin na ku wọ dia ebruphihọ."
441,obi,6,,,,Ebram da rhoma mu oyan họ ọ da garo vi obi Nẹgẹb.
442,firi,6,,,,Vwẹ ọke nana owẹvwe de rhi fi vwẹ otọ na. Etiyin Ebram de kpo Ijipt ra dia fikiridie owẹvwe na firi gangan vwẹ otọ na.
443,ughere,6,outskirts of a town or village,úghére,úghére,"Fero da kpokpa kẹ ihwo rọye kpahe Ebram, ayen de suo ro ughere, te aye rọye kugbe ihwo ro vwori ejobi."
444,isuigodẹ,6,,,,"Ebram da ta ki Lọt, E gbi jẹ oseghe dia uvwre wẹ vẹ ọmẹ-ẹ kugbe uvwre rẹ isuigodẹ wẹn vẹ emẹ-ẹ, kidie avwanre iniọvo."
445,zoar,6,,,,
446,gomora,6,,,,"Kọye ivwighrẹ na da ghwẹ ekuakua ri Sodọm vi Gomora reyọ, kugbe emuọre rayen ejobi ayen da yanran kpo,"
447,omoni,6,relation,ómóni,ómóni,"Etiyin o de mie ayen eyenre na ejobi, ọ da reyọ Lọt omoni rọye vẹ eyenre rọye, kugbe eya na vẹ ihwo na ejobi."
448,tua,6,Chase    him/her /it,Tua,Tua,ọ da reyọ imoni rọye ọ da vwọ tua ẹdẹ ighwrẹ soso kpata kpata ra ro orere rẹ igbenu ri Giliad.
449,ẹvwe,6,kola nut / Kola  nut / Kola nut,Ẹvwe,Ẹvwe,"Ọ da ta kẹ, Reyọ upene rẹ erhuẹn rẹ ikperha, ẹvwe aye rẹ ikperha, egbo rẹ ikperha, inekuku, kugbe eme erurẹ."
450,kpotọ,6,low,kpótọ,kpótọ,"Rẹ ọnre vwo kpotọ re, ovwerhẹ rode de mu Ebram, o vwo ni, oshọ rode vẹ egho de rhi rhuro."
451,eviẹn,6,,,,"Obọ ri kohwo kohwo ru wọ da mrẹ, e jo ghwu, avwanre ri chekọ na ke dia eviẹn rẹ ọrovwovwe."
452,kọshare,6,,,,
453,vwa,6,word that relates to the state of a person or t...,vwa,vwa,"Lọt da ro otafe ra vwa ihwo na, ọ da kare ẹchẹ gbe erhorha na,"
454,umwemwu,6,sin,umwemwu,umwemwu,"ọ da ta, Me rẹ ovwan, imoni mẹ, we ruẹ emu umwemwu tiọnana-a."
455,uyota,6,truth,úyóta,úyóta,"Uyota oníọvo mẹ o ghine ruẹ, ọ́mọtẹ́ rẹ ọsẹ mẹ ẹkẹvuọvo ọ dia ọmọ rẹ oní mẹ-ẹ, kọye mi de vwo ru aye."
456,omẹvwẹ,6,,,,"avwanre da vwerhẹ evwerhẹ vwẹ ason ọvuọvo na, te ọye te omẹvwẹ, dohwo devwerhẹ rọye dohwo dotọ rọye."
457,ghine,6,,,,"Uyota oníọvo mẹ o ghine ruẹ, ọ́mọtẹ́ rẹ ọsẹ mẹ ẹkẹvuọvo ọ dia ọmọ rẹ oní mẹ-ẹ, kọye mi de vwo ru aye."
458,erẹ,6,,,,"ini rẹ iyesi ọgban kugbe upene rayen, erhuẹn rẹ eya ujuvẹ kugbe erẹ eshare ihwe, esi rẹ eya uje kugbe eshare ihwe."
459,amakashe,6,angel,ámakáshe,ámakáshe,"Ẹkẹvuọvo amakashe rẹ Ọrovwohwo de se nẹ obo odjuvwu rhe, ọ da ta, Ebraham! Ebraham! O de nyo nẹ, Mẹvwẹ na."
460,iseri,6,,,,"O da ta, Igodẹ rẹ eya nana ighwrẹ na gba reyọ ayen mie vwe, rere e dia iseri nẹ mẹ́vwẹ ri ghine tọn orhare na."
461,ọghọ,6,respect/honour,ọghọ,ọghọ,"vwẹ oma rẹ uvwiẹ wẹn ọye ẹgborho rẹ akpọ na ejobi wan vwo ebruphihọ kẹ oma rẹ ayen, fikiridie wo mu ọghọ kẹ urhuru mẹ."
462,aram,6,,,,"Uz rẹ ọmọkpako, Buz rẹ oniọvo rọye, Kemuẹl ọsẹ rẹ Aram,"
463,hwa,6,pay / Pay,hwa,hwa,"Etiyin Laban da ta ki Jekọp, fikiridie wọ vwọ omoni mẹ na, ku wọ de ga vwẹ ọphọphẹ? Ta kẹ vwẹ, bro osa Me hwa kẹ wẹ?"
464,phare,6,,,,"ọ da reyọ, ophiẹn rẹ ẹmẹvwe na vwọ phare abọ vẹ edigbo ohọre rọye;"
465,nighere,6,,,,"Nighere, Mi re mudia asan ogbugbu rẹ ame na re, rẹ emetẹ rẹ ihwo rẹ orere na de che vo ame."
466,isa,6,Ring,Isa,Isa,"Me da nọ nẹ, Wẹ ọmọtẹ rẹ ono? Ọ da ta, Ọmọtẹ ri Bẹtuẹl, ọmọ ri Nahọr ri Milka vwiẹ kẹ. Kọye mi de ku isa na phihọ abọ."
